,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,Total revenue,Sales of goods and services* ( percent of total revenue),Cost of sales (direct expenses) (%),Operating expenses (indirect expenses) (%),Total expenses,Cost of sales (direct expenses),Operating expenses (indirect expenses),Net Profit/Loss,Total assets,Total current assets,Total liabilities,Total current liabilities,Total equity,Debt to equity ratio (times),Current debt to equity (%),Revenue to equity ratio (times),Net profit to equity (%),Gross margin (%),Percent of profitable businesses
4999,441,Motor vehicle and parts dealers,49.0,Prairies,1.0,Rural,2.0,Incorporated,2017.0,626.0,1201.9,97.5,67.6,29.0,1160.5,811.9,348.5,41.4,1094.7,704.3,576.9,339.5,517.8,1.1,65.6,2.3,8.0,30.7,
5000,441,Motor vehicle and parts dealers,49.0,Prairies,1.0,Rural,3.0,All businesses,2017.0,749.0,1045.1,,67.4,29.0,1007.4,704.3,303.1,37.7,,,,,,,,,,32.6,66.9
5002,441,Motor vehicle and parts dealers,49.0,Prairies,2.0,Urban,2.0,Incorporated,2017.0,1378.0,1058.7,96.6,68.5,27.0,1010.6,724.7,285.9,48.2,989.4,541.2,621.9,301.7,367.4,1.7,82.1,2.9,13.1,29.2,
5003,441,Motor vehicle and parts dealers,49.0,Prairies,2.0,Urban,3.0,All businesses,2017.0,1650.0,925.2,,68.5,26.8,881.2,633.7,247.5,43.9,,,,,,,,,,31.5,65.7
5005,441,Motor vehicle and parts dealers,46.0,Manitoba,1.0,Rural,2.0,Incorporated,2017.0,121.0,1227.9,97.4,66.3,26.7,1142.1,813.9,328.2,85.8,1171.1,793.2,599.4,339.8,571.7,1.0,59.4,2.1,15.0,32.0,
5006,441,Motor vehicle and parts dealers,46.0,Manitoba,1.0,Rural,3.0,All businesses,2017.0,165.0,949.1,,66.2,26.8,882.9,628.6,254.4,66.2,,,,,,,,,,33.8,69.1
5008,441,Motor vehicle and parts dealers,46.0,Manitoba,2.0,Urban,2.0,Incorporated,2017.0,230.0,962.6,97.5,73.1,23.6,930.4,703.5,226.9,32.2,748.4,496.7,481.5,262.1,266.8,1.8,98.2,3.6,12.1,25.1,
5009,441,Motor vehicle and parts dealers,46.0,Manitoba,2.0,Urban,3.0,All businesses,2017.0,338.0,742.0,,72.6,23.5,713.4,538.9,174.5,28.6,,,,,,,,,,27.4,67.2
5011,441,Motor vehicle and parts dealers,47.0,Saskatchewan,1.0,Rural,2.0,Incorporated,2017.0,174.0,1214.9,98.6,68.3,27.8,1168.2,830.1,338.1,46.7,1071.3,730.6,520.8,334.1,550.5,0.9,60.7,2.2,8.5,30.7,
5012,441,Motor vehicle and parts dealers,47.0,Saskatchewan,1.0,Rural,3.0,All businesses,2017.0,218.0,1022.9,,68.5,27.4,981.5,701.0,280.5,41.5,,,,,,,,,,31.5,65.1
5014,441,Motor vehicle and parts dealers,47.0,Saskatchewan,2.0,Urban,2.0,Incorporated,2017.0,223.0,1134.6,94.7,68.0,26.0,1066.6,771.8,294.9,67.9,1274.2,704.5,694.9,346.2,579.3,1.2,59.8,2.0,11.7,28.2,
5015,441,Motor vehicle and parts dealers,47.0,Saskatchewan,2.0,Urban,3.0,All businesses,2017.0,267.0,987.6,,68.1,25.9,928.0,672.6,255.5,59.6,,,,,,,,,,31.9,63.3
5017,441,Motor vehicle and parts dealers,48.0,Alberta,1.0,Rural,2.0,Incorporated,2017.0,331.0,1185.5,96.9,67.6,30.5,1163.1,801.6,361.5,22.5,1079.1,658.0,598.2,342.3,480.9,1.2,71.2,2.5,4.7,30.3,
5018,441,Motor vehicle and parts dealers,48.0,Alberta,1.0,Rural,3.0,All businesses,2017.0,366.0,1101.6,,67.2,30.7,1079.0,740.4,338.6,22.7,,,,,,,,,,32.8,66.9
5020,441,Motor vehicle and parts dealers,48.0,Alberta,2.0,Urban,2.0,Incorporated,2017.0,925.0,1064.4,96.9,67.5,28.0,1017.0,718.6,298.3,47.4,980.6,512.9,639.3,300.9,341.4,1.9,88.1,3.1,13.9,30.3,
5021,441,Motor vehicle and parts dealers,48.0,Alberta,2.0,Urban,3.0,All businesses,2017.0,1045.0,968.4,,67.6,27.8,923.5,654.4,269.2,44.9,,,,,,,,,,32.4,65.8
5023,441,Motor vehicle and parts dealers,59.0,British Columbia,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5024,441,Motor vehicle and parts dealers,59.0,British Columbia,1.0,Rural,3.0,All businesses,2017.0,165.0,1114.4,,67.4,28.7,1070.2,750.9,319.3,44.2,,,,,,,,,,32.6,72.1
5026,441,Motor vehicle and parts dealers,59.0,British Columbia,2.0,Urban,2.0,Incorporated,2017.0,1014.0,1113.4,97.3,71.0,24.2,1060.1,790.4,269.7,53.3,766.0,488.3,526.0,266.3,240.0,2.2,111.0,4.6,22.2,27.1,
5027,441,Motor vehicle and parts dealers,59.0,British Columbia,2.0,Urban,3.0,All businesses,2017.0,1213.0,966.8,,70.7,24.0,916.2,683.8,232.5,50.5,,,,,,,,,,29.3,75.2
5029,441,Motor vehicle and parts dealers,63.0,Territories,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5030,441,Motor vehicle and parts dealers,63.0,Territories,1.0,Rural,3.0,All businesses,2017.0,11.0,1434.9,,70.1,38.6,1558.8,1005.4,553.4,-123.9,,,,,,,,,,29.9,
5032,441,Motor vehicle and parts dealers,63.0,Territories,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5033,441,Motor vehicle and parts dealers,63.0,Territories,2.0,Urban,3.0,All businesses,2017.0,19.0,1307.6,,71.0,23.6,1237.7,928.7,309.0,69.9,,,,,,,,,,29.0,68.4
5035,441,Motor vehicle and parts dealers,60.0,Yukon,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5036,441,Motor vehicle and parts dealers,60.0,Yukon,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5038,441,Motor vehicle and parts dealers,60.0,Yukon,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5039,441,Motor vehicle and parts dealers,60.0,Yukon,2.0,Urban,3.0,All businesses,2017.0,12.0,1231.9,,73.4,22.4,1180.9,904.8,276.1,51.1,,,,,,,,,,26.6,
5041,441,Motor vehicle and parts dealers,61.0,Nordwest Territories,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5042,441,Motor vehicle and parts dealers,61.0,Nordwest Territories,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5044,441,Motor vehicle and parts dealers,61.0,Nordwest Territories,2.0,Urban,2.0,Incorporated,2017.0,7.0,1437.3,99.7,67.5,25.4,1335.1,969.8,365.3,102.2,1256.1,930.0,747.7,483.8,508.3,1.5,95.2,2.8,20.1,32.3,
5045,441,Motor vehicle and parts dealers,61.0,Nordwest Territories,2.0,Urban,3.0,All businesses,2017.0,7.0,1437.3,,67.5,25.4,1335.1,969.8,365.3,102.2,,,,,,,,,,32.5,
5047,441,Motor vehicle and parts dealers,62.0,Nunavut,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5048,441,Motor vehicle and parts dealers,62.0,Nunavut,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5050,442,Furniture and home furnishings stores,0.0,Canada,1.0,Rural,2.0,Incorporated,2017.0,703.0,937.1,98.3,61.8,32.2,880.8,579.3,301.5,56.3,634.5,374.7,321.6,185.3,312.9,1.0,59.2,3.0,18.0,37.1,
5051,442,Furniture and home furnishings stores,0.0,Canada,1.0,Rural,3.0,All businesses,2017.0,914.0,761.4,,61.7,32.0,712.7,469.4,243.3,48.7,,,,,,,,,,38.3,76.7
5053,442,Furniture and home furnishings stores,0.0,Canada,2.0,Urban,2.0,Incorporated,2017.0,4920.0,925.0,98.3,59.9,35.8,885.3,554.2,331.1,39.6,572.1,384.2,393.5,234.2,178.6,2.2,131.1,5.2,22.2,39.0,
5054,442,Furniture and home furnishings stores,0.0,Canada,2.0,Urban,3.0,All businesses,2017.0,5749.0,815.6,,59.6,35.7,777.2,486.2,291.0,38.4,,,,,,,,,,40.4,70.3
5056,442,Furniture and home furnishings stores,15.0,Altantic,1.0,Rural,2.0,Incorporated,2017.0,86.0,865.8,98.2,65.5,32.3,847.0,567.1,279.9,18.8,704.4,424.2,422.1,213.3,282.2,1.5,75.6,3.1,6.7,33.3,
5057,442,Furniture and home furnishings stores,15.0,Altantic,1.0,Rural,3.0,All businesses,2017.0,106.0,756.4,,65.6,31.8,737.1,496.4,240.6,19.4,,,,,,,,,,34.4,72.6
5059,442,Furniture and home furnishings stores,15.0,Altantic,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5060,442,Furniture and home furnishings stores,15.0,Altantic,2.0,Urban,3.0,All businesses,2017.0,207.0,1002.8,,60.8,34.7,957.6,609.6,348.0,45.1,,,,,,,,,,39.2,71.5
5062,442,Furniture and home furnishings stores,10.0,Newfoundland and Labrador,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5063,442,Furniture and home furnishings stores,10.0,Newfoundland and Labrador,1.0,Rural,3.0,All businesses,2017.0,20.0,1096.1,,67.9,30.7,1080.6,744.6,336.0,15.5,,,,,,,,,,32.1,70.0
5065,442,Furniture and home furnishings stores,10.0,Newfoundland and Labrador,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5066,442,Furniture and home furnishings stores,10.0,Newfoundland and Labrador,2.0,Urban,3.0,All businesses,2017.0,41.0,888.5,,60.5,37.6,872.2,537.8,334.4,16.3,,,,,,,,,,39.5,58.5
5068,442,Furniture and home furnishings stores,11.0,Prince Edward Island,1.0,Rural,2.0,Incorporated,2017.0,5.0,723.9,98.9,64.1,37.2,733.5,464.3,269.2,-9.6,611.8,288.7,562.2,179.7,49.6,11.3,362.2,14.6,-19.4,35.1,
5069,442,Furniture and home furnishings stores,11.0,Prince Edward Island,1.0,Rural,3.0,All businesses,2017.0,5.0,723.9,,64.1,37.2,733.5,464.3,269.2,-9.6,,,,,,,,,,35.9,
5071,442,Furniture and home furnishings stores,11.0,Prince Edward Island,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5072,442,Furniture and home furnishings stores,11.0,Prince Edward Island,2.0,Urban,3.0,All businesses,2017.0,15.0,1151.9,,64.8,30.4,1096.8,746.2,350.6,55.1,,,,,,,,,,35.2,86.7
5074,442,Furniture and home furnishings stores,12.0,Nova Scotia,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5075,442,Furniture and home furnishings stores,12.0,Nova Scotia,1.0,Rural,3.0,All businesses,2017.0,44.0,689.2,,62.4,33.9,663.4,430.1,233.3,25.8,,,,,,,,,,37.6,75.0
5077,442,Furniture and home furnishings stores,12.0,Nova Scotia,2.0,Urban,2.0,Incorporated,2017.0,62.0,1137.6,99.5,60.4,33.4,1066.7,686.6,380.1,70.9,763.2,442.7,523.2,304.4,240.0,2.2,126.8,4.7,29.6,39.3,
5078,442,Furniture and home furnishings stores,12.0,Nova Scotia,2.0,Urban,3.0,All businesses,2017.0,72.0,1003.1,,60.1,33.2,935.7,603.0,332.7,67.4,,,,,,,,,,39.9,75.0
5080,442,Furniture and home furnishings stores,13.0,New Brunswick,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5081,442,Furniture and home furnishings stores,13.0,New Brunswick,1.0,Rural,3.0,All businesses,2017.0,37.0,657.1,,67.8,29.5,639.4,445.5,193.9,17.7,,,,,,,,,,32.2,73.0
5083,442,Furniture and home furnishings stores,13.0,New Brunswick,2.0,Urban,2.0,Incorporated,2017.0,68.0,1176.0,99.2,61.1,35.9,1140.4,718.2,422.2,35.6,644.8,422.5,407.9,252.7,236.9,1.7,106.7,5.0,15.0,38.4,
5084,442,Furniture and home furnishings stores,13.0,New Brunswick,2.0,Urban,3.0,All businesses,2017.0,79.0,1033.5,,60.7,35.7,995.6,627.1,368.5,37.9,,,,,,,,,,39.3,72.2
5086,442,Furniture and home furnishings stores,24.0,Québec,1.0,Rural,2.0,Incorporated,2017.0,183.0,822.1,98.0,63.2,30.6,771.3,519.7,251.6,50.8,572.6,326.0,289.5,164.8,283.2,1.0,58.2,2.9,17.9,35.5,
5087,442,Furniture and home furnishings stores,24.0,Québec,1.0,Rural,3.0,All businesses,2017.0,222.0,700.4,,63.0,30.5,655.1,441.4,213.7,45.2,,,,,,,,,,37.0,75.7
5089,442,Furniture and home furnishings stores,24.0,Québec,2.0,Urban,2.0,Incorporated,2017.0,925.0,887.4,98.1,61.0,35.7,858.8,541.6,317.2,28.6,545.8,352.5,357.2,221.6,188.5,1.9,117.5,4.7,15.2,37.8,
5090,442,Furniture and home furnishings stores,24.0,Québec,2.0,Urban,3.0,All businesses,2017.0,1083.0,781.9,,60.7,35.6,753.1,474.7,278.4,28.7,,,,,,,,,,39.3,68.5
5092,442,Furniture and home furnishings stores,35.0,Ontario,1.0,Rural,2.0,Incorporated,2017.0,201.0,1039.9,98.3,60.8,32.7,972.0,632.3,339.7,67.9,629.1,408.9,341.0,203.0,288.2,1.2,70.4,3.6,23.6,38.2,
5093,442,Furniture and home furnishings stores,35.0,Ontario,1.0,Rural,3.0,All businesses,2017.0,292.0,769.0,,60.5,32.4,715.0,465.4,249.5,54.1,,,,,,,,,,39.5,80.1
5095,442,Furniture and home furnishings stores,35.0,Ontario,2.0,Urban,2.0,Incorporated,2017.0,2156.0,850.5,98.3,59.8,35.3,808.3,508.4,299.9,42.3,512.9,369.0,369.2,229.6,143.7,2.6,159.8,5.9,29.4,39.2,
5096,442,Furniture and home furnishings stores,35.0,Ontario,2.0,Urban,3.0,All businesses,2017.0,2572.0,738.3,,59.3,35.2,697.8,438.0,259.8,40.5,,,,,,,,,,40.7,70.9
5098,442,Furniture and home furnishings stores,49.0,Prairies,1.0,Rural,2.0,Incorporated,2017.0,165.0,996.7,98.5,60.6,33.7,939.4,603.8,335.6,57.3,674.9,379.8,298.6,175.5,376.3,0.8,46.7,2.6,15.2,38.5,
5099,442,Furniture and home furnishings stores,49.0,Prairies,1.0,Rural,3.0,All businesses,2017.0,197.0,856.9,,60.6,33.5,806.0,519.0,287.0,50.9,,,,,,,,,,39.4,72.6
5101,442,Furniture and home furnishings stores,49.0,Prairies,2.0,Urban,2.0,Incorporated,2017.0,805.0,1044.9,98.4,59.2,37.8,1013.8,618.5,395.3,31.1,656.6,408.7,414.5,247.8,242.1,1.7,102.3,4.3,12.8,39.8,
5102,442,Furniture and home furnishings stores,49.0,Prairies,2.0,Urban,3.0,All businesses,2017.0,895.0,958.5,,59.1,37.6,927.1,566.7,360.4,31.4,,,,,,,,,,40.9,66.4
5104,442,Furniture and home furnishings stores,46.0,Manitoba,1.0,Rural,2.0,Incorporated,2017.0,31.0,979.3,98.6,60.8,37.5,963.4,595.7,367.7,15.9,636.9,387.8,332.8,208.5,304.1,1.1,68.6,3.2,5.2,38.3,
5105,442,Furniture and home furnishings stores,46.0,Manitoba,1.0,Rural,3.0,All businesses,2017.0,38.0,817.8,,60.5,37.4,800.6,494.9,305.7,17.2,,,,,,,,,,39.5,68.4
5107,442,Furniture and home furnishings stores,46.0,Manitoba,2.0,Urban,2.0,Incorporated,2017.0,115.0,1195.3,97.6,60.8,35.2,1147.0,726.6,420.4,48.2,761.6,448.2,512.6,349.6,248.9,2.1,140.4,4.8,19.4,37.7,
5108,442,Furniture and home furnishings stores,46.0,Manitoba,2.0,Urban,3.0,All businesses,2017.0,141.0,1044.3,,61.0,34.3,995.0,636.8,358.1,49.4,,,,,,,,,,39.0,72.3
5110,442,Furniture and home furnishings stores,47.0,Saskatchewan,1.0,Rural,2.0,Incorporated,2017.0,30.0,856.7,98.5,58.6,36.1,810.8,501.8,309.0,45.9,598.3,370.8,234.4,131.8,363.9,0.6,36.2,2.4,12.6,40.5,
5111,442,Furniture and home furnishings stores,47.0,Saskatchewan,1.0,Rural,3.0,All businesses,2017.0,40.0,686.6,,58.6,35.5,646.2,402.3,243.8,40.4,,,,,,,,,,41.4,75.0
5113,442,Furniture and home furnishings stores,47.0,Saskatchewan,2.0,Urban,2.0,Incorporated,2017.0,133.0,1159.2,99.0,61.2,35.8,1124.2,709.5,414.7,35.1,633.4,440.0,367.8,219.6,265.6,1.4,82.7,4.4,13.2,38.2,
5114,442,Furniture and home furnishings stores,47.0,Saskatchewan,2.0,Urban,3.0,All businesses,2017.0,142.0,1090.9,,61.2,35.7,1056.8,667.2,389.6,34.1,,,,,,,,,,38.8,68.3
5116,442,Furniture and home furnishings stores,48.0,Alberta,1.0,Rural,2.0,Incorporated,2017.0,104.0,1042.3,98.4,61.0,32.0,969.4,635.7,333.8,72.9,708.3,380.0,306.9,178.3,401.3,0.8,44.4,2.6,18.2,38.0,
5117,442,Furniture and home furnishings stores,48.0,Alberta,1.0,Rural,3.0,All businesses,2017.0,119.0,926.7,,61.1,31.9,861.5,565.9,295.6,65.2,,,,,,,,,,38.9,73.1
5119,442,Furniture and home furnishings stores,48.0,Alberta,2.0,Urban,2.0,Incorporated,2017.0,557.0,986.5,98.4,58.2,39.1,959.9,574.4,385.5,26.6,640.5,393.0,405.4,233.5,235.1,1.7,99.3,4.2,11.3,40.8,
5120,442,Furniture and home furnishings stores,48.0,Alberta,2.0,Urban,3.0,All businesses,2017.0,612.0,908.0,,58.1,39.0,881.4,527.2,354.2,26.6,,,,,,,,,,41.9,64.5
5122,442,Furniture and home furnishings stores,59.0,British Columbia,1.0,Rural,2.0,Incorporated,2017.0,68.0,888.6,98.8,60.7,30.1,806.6,539.6,267.1,82.0,631.0,329.4,279.7,176.4,351.3,0.8,50.2,2.5,23.3,38.5,
5123,442,Furniture and home furnishings stores,59.0,British Columbia,1.0,Rural,3.0,All businesses,2017.0,97.0,689.4,,60.2,30.0,621.8,415.2,206.6,67.7,,,,,,,,,,39.8,81.4
5125,442,Furniture and home furnishings stores,59.0,British Columbia,2.0,Urban,2.0,Incorporated,2017.0,848.0,983.2,98.0,59.6,35.3,933.2,585.6,347.6,50.1,634.1,418.2,458.4,237.1,175.7,2.6,134.9,5.6,28.5,39.2,
5126,442,Furniture and home furnishings stores,59.0,British Columbia,2.0,Urban,3.0,All businesses,2017.0,981.0,875.9,,59.4,35.3,829.0,519.9,309.0,47.0,,,,,,,,,,40.6,74.3
5128,442,Furniture and home furnishings stores,63.0,Territories,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5129,442,Furniture and home furnishings stores,63.0,Territories,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5131,442,Furniture and home furnishings stores,63.0,Territories,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5132,442,Furniture and home furnishings stores,63.0,Territories,2.0,Urban,3.0,All businesses,2017.0,11.0,1685.1,,60.4,29.4,1512.4,1017.3,495.1,172.8,,,,,,,,,,39.6,72.7
5134,442,Furniture and home furnishings stores,60.0,Yukon,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5135,442,Furniture and home furnishings stores,60.0,Yukon,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5137,442,Furniture and home furnishings stores,60.0,Yukon,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5138,442,Furniture and home furnishings stores,60.0,Yukon,2.0,Urban,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5140,442,Furniture and home furnishings stores,61.0,Nordwest Territories,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5141,442,Furniture and home furnishings stores,61.0,Nordwest Territories,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5143,442,Furniture and home furnishings stores,61.0,Nordwest Territories,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5144,442,Furniture and home furnishings stores,61.0,Nordwest Territories,2.0,Urban,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5146,442,Furniture and home furnishings stores,62.0,Nunavut,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5147,442,Furniture and home furnishings stores,62.0,Nunavut,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5149,443,Electronics and appliance stores,0.0,Canada,1.0,Rural,2.0,Incorporated,2017.0,551.0,673.6,97.3,63.8,31.5,642.0,429.8,212.2,31.6,405.2,241.2,226.5,130.4,178.7,1.3,73.0,3.8,17.7,34.4,
5150,443,Electronics and appliance stores,0.0,Canada,1.0,Rural,3.0,All businesses,2017.0,686.0,580.9,,63.9,31.0,551.0,371.0,180.0,29.9,,,,,,,,,,36.1,72.2
5152,443,Electronics and appliance stores,0.0,Canada,2.0,Urban,2.0,Incorporated,2017.0,4172.0,680.2,97.8,59.2,35.9,646.7,402.5,244.2,33.5,427.7,287.8,291.6,186.3,136.1,2.1,137.0,5.0,24.6,39.5,
5153,443,Electronics and appliance stores,0.0,Canada,2.0,Urban,3.0,All businesses,2017.0,4674.0,623.6,,59.1,35.6,590.5,368.6,222.0,33.1,,,,,,,,,,40.9,71.1
5155,443,Electronics and appliance stores,15.0,Altantic,1.0,Rural,2.0,Incorporated,2017.0,68.0,641.6,96.0,68.7,28.3,622.1,440.7,181.3,19.5,319.2,211.3,159.3,104.3,159.9,1.0,65.2,4.0,12.2,28.5,
5156,443,Electronics and appliance stores,15.0,Altantic,1.0,Rural,3.0,All businesses,2017.0,76.0,593.9,,68.3,28.1,572.8,405.7,167.1,21.1,,,,,,,,,,31.7,75.0
5158,443,Electronics and appliance stores,15.0,Altantic,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5159,443,Electronics and appliance stores,15.0,Altantic,2.0,Urban,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,66.4
5161,443,Electronics and appliance stores,10.0,Newfoundland and Labrador,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5162,443,Electronics and appliance stores,10.0,Newfoundland and Labrador,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,66.7
5164,443,Electronics and appliance stores,10.0,Newfoundland and Labrador,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5165,443,Electronics and appliance stores,10.0,Newfoundland and Labrador,2.0,Urban,3.0,All businesses,2017.0,36.0,502.4,,56.9,42.7,500.4,286.0,214.4,2.1,,,,,,,,,,43.1,66.7
5167,443,Electronics and appliance stores,11.0,Prince Edward Island,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5168,443,Electronics and appliance stores,11.0,Prince Edward Island,1.0,Rural,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5170,443,Electronics and appliance stores,11.0,Prince Edward Island,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5171,443,Electronics and appliance stores,11.0,Prince Edward Island,2.0,Urban,3.0,All businesses,2017.0,,,,,,,,,,,,,,,,,,,,
5173,443,Electronics and appliance stores,12.0,Nova Scotia,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5174,443,Electronics and appliance stores,12.0,Nova Scotia,1.0,Rural,3.0,All businesses,2017.0,28.0,464.8,,67.5,28.4,445.5,313.6,131.9,19.3,,,,,,,,,,32.5,78.6
5176,443,Electronics and appliance stores,12.0,Nova Scotia,2.0,Urban,2.0,Incorporated,2017.0,49.0,591.4,98.9,60.4,36.0,570.3,357.2,213.1,21.1,347.9,204.8,187.1,137.6,160.7,1.2,85.6,3.7,13.1,38.9,
5177,443,Electronics and appliance stores,12.0,Nova Scotia,2.0,Urban,3.0,All businesses,2017.0,55.0,536.4,,60.2,36.0,516.2,323.2,193.0,20.2,,,,,,,,,,39.8,65.5
5179,443,Electronics and appliance stores,13.0,New Brunswick,1.0,Rural,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5180,443,Electronics and appliance stores,13.0,New Brunswick,1.0,Rural,3.0,All businesses,2017.0,30.0,718.8,,66.0,30.5,693.8,474.5,219.3,25.0,,,,,,,,,,34.0,76.7
5182,443,Electronics and appliance stores,13.0,New Brunswick,2.0,Urban,2.0,Incorporated,2017.0,,,,,,,,,,,,,,,,,,,,
5183,443,Electronics and appliance stores,13.0,New Brunswick,2.0,Urban,3.0,All businesses,2017.0,48.0,738.1,,69.5,29.1,727.5,512.7,214.8,10.7,,,,,,,,,,30.5,66.7
5185,443,Electronics and appliance stores,24.0,Québec,1.0,Rural,2.0,Incorporated,2017.0,161.0,565.7,97.2,60.9,33.9,536.7,344.8,191.9,29.0,420.1,230.0,245.2,129.7,174.9,1.4,74.2,3.2,16.6,37.3,
5186,443,Electronics and appliance stores,24.0,Québec,1.0,Rural,3.0,All businesses,2017.0,192.0,497.5,,61.0,33.6,470.5,303.5,167.0,27.0,,,,,,,,,,39.0,71.9
5188,443,Electronics and appliance stores,24.0,Québec,2.0,Urban,2.0,Incorporated,2017.0,1011.0,735.4,97.8,60.4,34.2,695.3,444.1,251.2,40.1,439.3,253.6,266.0,165.3,173.3,1.5,95.4,4.2,23.1,38.2,
5189,443,Electronics and appliance stores,24.0,Québec,2.0,Urban,3.0,All businesses,2017.0,1137.0,667.1,,60.2,34.0,628.9,401.9,227.0,38.2,,,,,,,,,,39.8,73.6
5191,443,Electronics and appliance stores,35.0,Ontario,1.0,Rural,2.0,Incorporated,2017.0,124.0,720.3,98.8,65.3,30.3,688.6,470.5,218.1,31.7,353.4,218.3,257.5,174.3,95.9,2.7,181.8,7.5,33.0,33.9,
5192,443,Electronics and appliance stores,35.0,Ontario,1.0,Rural,3.0,All businesses,2017.0,173.0,576.9,,64.7,29.8,544.9,373.0,171.9,32.0,,,,,,,,,,35.3,77.5
5194,443,Electronics and appliance stores,35.0,Ontario,2.0,Urban,2.0,Incorporated,2017.0,1812.0,628.5,97.9,59.1,36.7,602.0,371.4,230.6,26.5,386.7,287.8,296.5,195.9,90.2,3.3,217.2,7.0,29.3,39.7,
5195,443,Electronics and appliance stores,35.0,Ontario,2.0,Urban,3.0,All businesses,2017.0,2049.0,577.0,,59.2,36.1,549.9,341.4,208.5,27.2,,,,,,,,,,40.8,69.5
5197,443,Electronics and appliance stores,49.0,Prairies,1.0,Rural,2.0,Incorporated,2017.0,138.0,820.9,96.1,62.7,32.7,782.8,514.6,268.2,38.1,530.9,317.7,234.1,123.8,296.8,0.8,41.7,2.8,12.8,34.8,
5198,443,Electronics and appliance stores,49.0,Prairies,1.0,Rural,3.0,All businesses,2017.0,170.0,700.5,,62.7,32.5,667.0,439.5,227.5,33.5,,,,,,,,,,37.3,70.6
5200,443,Electronics and appliance stores,49.0,Prairies,2.0,Urban,2.0,Incorporated,2017.0,595.0,720.7,96.9,57.7,36.9,681.7,415.9,265.8,39.0,444.7,291.6,300.6,184.0,144.0,2.1,127.7,5.0,27.1,40.4,
5201,443,Electronics and appliance stores,49.0,Prairies,2.0,Urban,3.0,All businesses,2017.0,645.0,673.7,,57.5,36.8,635.3,387.7,247.6,38.4,,,,,,,,,,42.5,68.7
