,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,Total revenue,Sales of goods and services* ( percent of total revenue),Cost of sales (direct expenses) (%),Operating expenses (indirect expenses) (%),Total expenses,Cost of sales (direct expenses),Operating expenses (indirect expenses),Net Profit/Loss,Total assets,Total current assets,Total liabilities,Total current liabilities,Total equity,Debt to equity ratio (times),Current debt to equity (%),Revenue to equity ratio (times),Net profit to equity (%),Gross margin (%),Percent of profitable businesses
74,0,All industries,59.0,British Columbia,1.0,Rural,3.0,All businesses,2017.0,33010.0,377.3,,36.8,48.9,323.0,138.7,184.3,54.3,,,,,,,,,,63.2,82.4
76,0,All industries,59.0,British Columbia,2.0,Urban,2.0,Incorporated,2017.0,165570.0,587.3,88.4,37.3,50.3,514.1,218.9,295.2,73.1,1273.4,453.7,691.8,257.3,581.6,1.2,44.2,1.0,12.6,57.9,
77,0,All industries,59.0,British Columbia,2.0,Urban,3.0,All businesses,2017.0,274858.0,397.9,,35.2,49.3,336.2,140.2,196.0,61.7,,,,,,,,,,64.8,83.4
79,0,All industries,63.0,Territories,1.0,Rural,2.0,Incorporated,2017.0,918.0,937.8,86.1,35.4,64.0,932.5,331.8,600.6,5.3,1572.5,489.7,1649.0,416.0,-76.5,-21.6,-543.9,-12.3,-7.0,58.9,
80,0,All industries,63.0,Territories,1.0,Rural,3.0,All businesses,2017.0,1474.0,636.9,,34.4,62.4,616.4,219.0,397.4,20.5,,,,,,,,,,65.6,76.9
82,0,All industries,63.0,Territories,2.0,Urban,2.0,Incorporated,2017.0,1660.0,726.2,88.2,36.1,51.0,632.5,262.4,370.2,93.6,1093.3,372.5,604.7,283.1,488.6,1.2,57.9,1.5,19.2,59.0,
83,0,All industries,63.0,Territories,2.0,Urban,3.0,All businesses,2017.0,2891.0,472.7,,34.6,49.6,398.0,163.6,234.4,74.7,,,,,,,,,,65.4,82.9
85,0,All industries,60.0,Yukon,1.0,Rural,2.0,Incorporated,2017.0,221.0,863.7,93.2,38.8,78.4,1012.6,335.2,677.4,-149.0,1712.3,370.0,3885.3,317.2,-2173.0,-1.8,-14.6,-0.4,6.9,58.4,
86,0,All industries,60.0,Yukon,1.0,Rural,3.0,All businesses,2017.0,422.0,521.7,,37.9,74.0,583.8,197.6,386.3,-62.1,,,,,,,,,,62.1,79.4
88,0,All industries,60.0,Yukon,2.0,Urban,2.0,Incorporated,2017.0,1046.0,665.9,89.2,36.3,49.4,570.7,241.7,329.0,95.2,950.5,346.8,556.6,248.3,393.9,1.4,63.0,1.7,24.2,59.3,
89,0,All industries,60.0,Yukon,2.0,Urban,3.0,All businesses,2017.0,1889.0,429.8,,34.8,48.0,355.6,149.5,206.1,74.2,,,,,,,,,,65.2,83.3
91,0,All industries,61.0,Nordwest Territories,1.0,Rural,2.0,Incorporated,2017.0,376.0,889.3,87.3,37.5,57.2,841.9,333.6,508.3,47.4,1379.9,438.0,939.5,365.4,440.4,2.1,83.0,2.0,10.8,57.0,
92,0,All industries,61.0,Nordwest Territories,1.0,Rural,3.0,All businesses,2017.0,562.0,637.6,,36.7,56.1,592.1,234.3,357.8,45.5,,,,,,,,,,63.3,74.0
94,0,All industries,61.0,Nordwest Territories,2.0,Urban,2.0,Incorporated,2017.0,614.0,828.9,86.7,35.9,53.1,737.8,297.5,440.3,91.0,1336.6,416.4,686.6,342.3,649.9,1.1,52.7,1.3,14.0,58.6,
95,0,All industries,61.0,Nordwest Territories,2.0,Urban,3.0,All businesses,2017.0,986.0,560.7,,34.4,52.1,484.9,192.9,292.0,75.8,,,,,,,,,,65.6,82.0
97,0,All industries,62.0,Nunavut,1.0,Rural,2.0,Incorporated,2017.0,321.0,1045.7,80.9,31.3,62.7,983.4,327.5,655.9,62.3,1701.8,632.5,940.4,543.4,761.5,1.2,71.4,1.4,8.2,61.3,
98,0,All industries,62.0,Nunavut,1.0,Rural,3.0,All businesses,2017.0,490.0,735.4,,29.9,61.5,672.4,219.9,452.5,63.0,,,,,,,,,,70.1,78.0
100,11,"Agriculture, forestry, fishing and hunting",0.0,Canada,1.0,Rural,2.0,Incorporated,2017.0,37334.0,811.1,92.8,4.5,107.5,908.6,36.4,872.2,-97.5,2273.8,677.0,1189.1,373.9,1084.7,1.1,34.5,0.7,-9.0,95.2,
101,11,"Agriculture, forestry, fishing and hunting",0.0,Canada,1.0,Rural,3.0,All businesses,2017.0,49243.0,645.7,,4.6,104.9,707.0,29.8,677.3,-61.3,,,,,,,,,,95.4,55.2
103,11,"Agriculture, forestry, fishing and hunting",0.0,Canada,2.0,Urban,2.0,Incorporated,2017.0,17708.0,764.8,92.1,9.8,101.6,851.8,74.7,777.1,-87.0,2141.9,576.3,1233.0,421.8,908.9,1.4,46.4,0.8,-9.6,89.4,
104,11,"Agriculture, forestry, fishing and hunting",0.0,Canada,2.0,Urban,3.0,All businesses,2017.0,22687.0,624.5,,10.1,99.2,682.4,62.8,619.6,-57.9,,,,,,,,,,89.9,56.5
106,11,"Agriculture, forestry, fishing and hunting",15.0,Altantic,1.0,Rural,2.0,Incorporated,2017.0,3873.0,684.0,95.1,9.1,84.5,640.4,62.6,577.9,43.6,1321.4,377.2,702.6,252.5,618.8,1.1,40.8,1.1,7.0,90.4,
