REF_DATE,GEO,DGUID,Labour force characteristics,Population centre and rural areas,Sex,Age group,VALUE
2017,Canada,2016A000011124,Unemployment rate,Census metropolitan area and census agglomeration,Both sexes,15 years and over,6.3
2017,Canada,2016A000011124,Unemployment rate,Non-census metropolitan area and non-census agglomeration,Both sexes,15 years and over,7
2018,Canada,2016A000011124,Unemployment rate,Census metropolitan area and census agglomeration,Both sexes,15 years and over,5.8
2018,Canada,2016A000011124,Unemployment rate,Non-census metropolitan area and non-census agglomeration,Both sexes,15 years and over,6.5
2019,Canada,2016A000011124,Unemployment rate,Census metropolitan area and census agglomeration,Both sexes,15 years and over,5.7
2019,Canada,2016A000011124,Unemployment rate,Non-census metropolitan area and non-census agglomeration,Both sexes,15 years and over,6.2
