Geography,Location indicator - code,Location indicator,Reference year,Net Profit/Loss,unemployment_rate,Total number of businesses,Current ratio (times),Debt to equity ratio (times),Debt ratio (times),Current debt to equity (%),Total equity
Canada,1.0,Urban,2017,605.9,6.3,40390,1.5,1.1,0.5,56.5,5509.8
Canada,1.0,Urban,2018,675.5,5.8,42801,1.5,1.2,0.6,62.1,5237.7
Canada,1.0,Urban,2019,674.3,5.7,43823,1.5,1.2,0.5,57.3,5732.4
