"Medium Businesses Profiles : Balance sheet items, incoporated businesses, Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Statistics Canada, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note : Values are averages in current dollars ( x $1,000) unless otherwise indicated. Data includes entrprises reporting annual total revenues of $5,000,001 to $20,000,000, inclusively. Calculations are profit margin based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total assets,"Total assets, quality indicator","Total assets, first quartile","Total assets, second quartile","Total assets, third quartile","Total assets, fourth quartile",Total current assets,"Total current assets, quality indicator","Total current assets, first quartile","Total current assets, second quartile","Total current assets, third quartile","Total current assets, fourth quartile",Accounts receivable,"Accounts receivable, quality indicator","Accounts receivable, first quartile","Accounts receivable, second quartile","Accounts receivable, third quartile","Accounts receivable, fourth quartile",Closing inventory,"Closing inventory, indicateur de qualité","Closing inventory, premier quartile","Closing inventory, deuxième quartile","Closing inventory, troisième quartile","Closing inventory, quatrième quartile",Other current assets,"Other current assets, quality indicator","Other current assets, first quartile","Other current assets, second quartile","Other current assets, third quartile","Other current assets, fourth quartile",Net tangible and intagible assets,"Net tangible and intagible assets, quality indicator","Net tangible and intagible assets, first quartile","Net tangible and intagible assets, second quartile","Net tangible and intagible assets, third quartile","Net tangible and intagible assets, fourth quartile",Long term assets,"Long term assets, quality indicator","Long term assets, first quartile","Long term assets, second quartile","Long term assets, third quartile","Long term assets, fourth quartile",Total liabilities,"Total liabilities, quality indicator","Total liabilities, first quartile","Total liabilities, second quartile","Total liabilities, third quartile","Total liabilities, fourth quartile",Total current liabilities,"Total current liabilities, quality indicator","Total current liabilities, first quartile","Total current liabilities, second quartile","Total current liabilities, third quartile","Total current liabilities, fourth quartile",Current bank loans,"Current bank loans, quality indicator","Current bank loans, first quartile","Current bank loans, second quartile","Current bank loans, third quartile","Current bank loans, fourth quartile",Other current liabilities,"Other current liabilities, quality indicator","Other current liabilities, first quartile","Other current liabilities, second quartile","Other current liabilities, third quartile","Other current liabilities, fourth quartile",Long term liabilities,"Long term liabilities, quality indicator","Long term liabilities, first quartile","Long term liabilities, second quartile","Long term liabilities, third quartile","Long term liabilities, fourth quartile",Total equity,"Total equity, quality indicator","Total equity, first quartile","Total equity, second quartile","Total equity, third quartile","Total equity, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,All industries,0,Canada,1,Rural,2,Incorporated,2017,7255.4,A,9387.8,4464.9,5625.7,9543,3181.8,A,3418.8,2534.3,3127,3647.3,880.6,E,791.5,689.4,948.5,1093.1,1332.3,E,1841.5,1375.5,1363.6,748.6,968.9,B,785.8,469.4,814.9,1805.6,2840.6,A,4693.8,1383.7,1993.1,3291.6,1233,A,1275.2,547,505.6,2604,4064.8,A,6294.8,2864.9,3134.4,3965,2293.4,A,3404,1867.4,1939.4,1962.5,424,E,719.1,469,316.5,191.4,1869.3,C,2684.9,1398.4,1622.9,1771.1,1771.4,A,2890.7,997.5,1195,2002.5,3190.6,A,3093,1600,2491.2,5577.9
2,0,All industries,0,Canada,2,Urban,2,Incorporated,2017,11645.7,A,15027.6,5695,6544,19316.2,4610.8,A,4937.9,3206.3,3658.3,6640.7,1298.2,E,1416.6,1109.1,1275.1,1392.2,1022.3,E,1256.8,1146.5,975.1,710.8,2290.4,B,2264.9,950.9,1408.2,4537.8,3080.5,A,4998.9,1214,1698.7,4410.4,3954.4,A,5090.7,1274.7,1187,8265.1,6135.9,A,9020.8,3557.7,3863.3,8101.9,3111,A,4346.1,2233.2,2276.6,3588.1,327.7,E,499.6,322.3,227.9,261.3,2783.3,C,3846.5,1910.9,2048.7,3326.9,3024.9,A,4674.7,1324.5,1586.7,4513.8,5509.8,A,6006.8,2137.3,2680.7,11214.3
3,11,"Agriculture, forestry, fishing and hunting",0,Canada,1,Rural,2,Incorporated,2017,10822.2,A,13430.4,15118.6,7745.2,6994.9,3764.2,A,5491.2,4440.6,2642.7,2482.4,685.5,E,595.4,796.6,721.8,628.3,2080.3,E,4003.6,2542.6,1156.4,618.5,998.4,B,892.2,1101.4,764.6,1235.5,6075.1,A,6848.8,9174.4,4440.1,3837,982.9,A,1090.4,1503.5,662.3,675.4,6337.5,A,8640.7,9326.2,4043.2,3340.1,3141.1,A,5047.6,3914.8,2024.3,1577.8,647,E,1209.6,902.6,275.5,200.4,2494.1,B,3838.1,3012.1,1748.8,1377.4,3196.4,A,3593,5411.4,2018.9,1762.3,4484.7,A,4789.7,5792.4,3702,3654.8
4,11,"Agriculture, forestry, fishing and hunting",0,Canada,2,Urban,2,Incorporated,2017,11223.4,A,13269.3,13599.7,8368.6,9655.9,3685.3,A,4778.6,3608.9,2894.9,3458.6,796.1,E,741.1,833.4,826.7,783.1,1672.4,E,2970.6,1803,1011.7,904.5,1216.7,B,1066.9,972.5,1056.5,1771.1,6158,A,7145.5,8678.8,3990.4,4817.2,1380.2,A,1345.2,1312,1483.4,1380.1,7437.1,A,9042.2,9132.9,5589,5984.2,3570.2,A,4525.7,4125.7,2599.9,3029.7,441.8,E,653.7,581.1,302.6,229.7,3128.4,B,3872,3544.6,2297.3,2799.9,3866.9,A,4516.6,5007.2,2989.1,2954.6,3786.3,A,4227.1,4466.8,2779.6,3671.7
5,111,Crop production,0,Canada,1,Rural,2,Incorporated,2017,12045.7,A,15162,13822.9,11452.5,7745.6,4228.1,A,4823.8,4890,3860.5,3337.9,837.9,E,604.1,927,882.3,938,2304.5,E,3258.5,2731.5,2172.8,1055.1,1085.7,B,961.2,1231.5,805.4,1344.7,6806.3,A,9407.4,7597.1,6640.7,3580,1011.4,B,930.8,1335.8,951.2,827.7,6595.3,A,8841.3,7884,6270.3,3385.6,3110.9,A,4149.4,3896.1,2543.3,1854.8,578,E,787,833.8,475.6,215.7,2532.9,B,3362.4,3062.4,2067.7,1639.2,3484.4,A,4691.9,3987.9,3727,1530.7,5450.4,B,6320.7,5938.8,5182.1,4360
6,111,Crop production,0,Canada,2,Urban,2,Incorporated,2017,11526.2,A,12745.3,12075.1,10779.8,10504.6,3766.6,A,4570.5,3473.5,3107.1,3915.4,824.9,E,915.8,776.9,772.5,834.4,1621.9,E,2074,1710.3,1350.1,1353.2,1319.8,B,1580.8,986.3,984.5,1727.9,6509,A,6831.2,7661.6,6060.3,5482.8,1250.6,A,1343.6,940,1612.4,1106.3,7266.7,A,8761.5,7606.2,7113.7,5585.3,3265.5,A,4079.5,3529.1,3006.4,2446.9,398.2,C,438.8,585.3,316.7,252.2,2867.2,B,3640.6,2943.8,2689.7,2194.7,4001.2,A,4682,4077.1,4107.2,3138.4,4259.5,A,3983.8,4468.9,3666.1,4919.3
7,112,Animal production and aquaculture,0,Canada,1,Rural,2,Incorporated,2017,13637.2,A,9858.9,16111.8,19143.1,9434.9,4689.7,A,5544.6,6178.6,4410.1,2625.5,579.8,E,531.1,676.2,688.8,423.1,3154.8,E,4528,4260.7,2560.8,1269.7,955.1,B,485.5,1241.7,1160.5,932.7,7617.2,A,3397.1,8375.3,12746.3,5949.9,1330.3,A,917.2,1557.9,1986.7,859.6,8716.7,A,6439.4,11533.8,11665.5,5228.1,4406.8,A,4128.7,6687.3,4781,2030.1,1177.3,E,1528.4,1272.2,1325.7,583,3229.4,B,2600.3,5415,3455.3,1447.1,4310,A,2310.7,4846.5,6884.6,3198,4920.5,A,3419.5,4578,7477.6,4206.9
8,112,Animal production and aquaculture,0,Canada,2,Urban,2,Incorporated,2017,15295.4,A,11756.3,15982.8,19903.8,13538.6,4661.9,A,5166.6,4856,4694.8,3930,715,E,481.9,660.8,770.8,946.6,2983.4,E,4301.6,3273.7,2828,1530,963.5,B,383.1,921.5,1096,1453.4,8980.6,A,5427.7,9534.2,12960,8000.3,1653,A,1162,1592.6,2248.9,1608.3,10445.5,A,7934.4,10877.3,13922.4,9047.8,4741.5,A,5335.6,4570.8,5709.5,3350.1,710,E,1130.7,572.9,617.4,519,4031.5,B,4204.9,3997.9,5092.2,2831.1,5704,A,2598.8,6306.5,8212.9,5697.7,4849.9,A,3821.8,5105.6,5981.4,4490.9
9,113,Forestry and logging,0,Canada,1,Rural,2,Incorporated,2017,X,A,X,X,X,X,X,A,X,X,X,X,X,E,X,X,X,X,X,E,X,X,X,X,X,B,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,X,E,X,X,X,X,X,C,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X
