ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,316,Leather and allied product manufacturing,0,Canada,2,Urban,2,Incorporated,2018,10,5000,20000,5000,X,X,7166,7166,X,X,20000,8865,A,X,X,X,X,8844.8,A,X,X,X,X,100,20.2,A,X,X,X,X,60,99.8,A,X,X,X,X,0.2,A,X,X,X,X
49,321,Wood product manufacturing,0,Canada,1,Rural,2,Incorporated,2018,135,5000,20000,5000,6132,6132,9095,9095,13000,13000,20000,9970.8,A,5628.2,7266.4,10884.3,16104.2,9825.1,A,5563.9,7241.2,10478.3,16016.7,99.3,145.7,A,64.3,25.2,406,87.4,63.7,98.5,A,98.9,99.7,96.3,99.5,1.5,A,1.1,0.3,3.7,0.5
50,321,Wood product manufacturing,0,Canada,2,Urban,2,Incorporated,2018,274,5000,20000,5000,6277,6277,8590,8590,13000,13000,20000,9779,A,5564.7,7485.2,10097.8,15968.3,9725.3,A,5506.5,7428,10060.7,15905.9,100,53.7,A,58.2,57.3,37.1,62.4,55.8,99.5,A,99,99.2,99.6,99.6,0.5,A,1,0.8,0.4,0.4
51,322,Paper manufacturing,0,Canada,1,Rural,2,Incorporated,2018,8,5000,20000,5000,X,X,7968,7968,X,X,20000,10675,A,X,X,X,X,10619.9,A,X,X,X,X,100,55.1,A,X,X,X,X,50,99.5,A,X,X,X,X,0.5,A,X,X,X,X
52,322,Paper manufacturing,0,Canada,2,Urban,2,Incorporated,2018,68,5000,20000,5000,6534,6534,8485,8485,11000,11000,20000,9757.3,A,5977.6,7705.2,10019.6,15326.8,9697,A,5851.9,7694.1,9929.8,15312.1,100,60.3,A,125.7,11.1,89.8,14.7,45.6,99.4,A,97.9,99.9,99.1,99.9,0.6,A,2.1,0.1,0.9,0.1
53,323,Printing and related support activities,0,Canada,1,Rural,2,Incorporated,2018,5,5000,20000,5000,X,X,X,X,X,X,20000,8816.4,A,X,X,X,X,8722.5,A,X,X,X,X,100,93.9,A,X,X,X,X,40,98.9,A,X,X,X,X,1.1,A,X,X,X,X
54,323,Printing and related support activities,0,Canada,2,Urban,2,Incorporated,2018,180,5000,20000,5000,6348,6348,8588,8588,12000,12000,20000,9693.5,A,5624.4,7411.9,10413,15324.8,9599.8,A,5604.3,7230.8,10376.4,15187.9,100,93.7,C,20,181.1,36.7,136.9,50,99,A,99.6,97.6,99.6,99.1,1,C,0.4,2.4,0.4,0.9
55,324,Petroleum and coal product manufacturing,0,Canada,1,Rural,2,Incorporated,2018,5,5000,20000,5000,X,X,X,X,X,X,20000,8847.5,A,X,X,X,X,8807,A,X,X,X,X,100,40.5,A,X,X,X,X,20,99.5,A,X,X,X,X,0.5,A,X,X,X,X
56,324,Petroleum and coal product manufacturing,0,Canada,2,Urban,2,Incorporated,2018,31,5000,20000,5000,7257,7257,8969,8969,13000,13000,20000,10508.8,A,6333.4,8395.5,11243.5,16062.9,10484.3,A,6307.4,8350.8,11223,16055.9,100,24.6,A,26,44.7,20.5,7,58.1,99.8,A,99.6,99.5,99.8,100,0.2,A,0.4,0.5,0.2,0
57,325,Chemical manufacturing,0,Canada,1,Rural,2,Incorporated,2018,16,5000,20000,5000,5535,5535,6558,6558,12000,12000,20000,9162.8,A,5285.6,6292.7,8611,16461.7,9079.2,B,5262.9,6256.7,8583.8,16213.5,100,83.6,A,22.8,36.1,27.2,248.2,50,99.1,B,99.6,99.4,99.7,98.5,0.9,A,0.4,0.6,0.3,1.5
58,325,Chemical manufacturing,0,Canada,2,Urban,2,Incorporated,2018,234,5000,20000,5000,7113,7113,10000,10000,14000,14000,20000,10973.5,A,6107,8588.5,12317.6,16881,10717.5,A,5919.9,8437.8,11821.2,16691.1,100,256,B,187.1,150.7,496.3,189.9,54.7,97.7,A,96.9,98.2,96,98.9,2.3,B,3.1,1.8,4,1.1
59,326,Plastics and rubber products manufacturing,0,Canada,1,Rural,2,Incorporated,2018,45,5000,20000,5000,6209,6209,9042,9042,12000,12000,20000,9489.1,A,5567.1,7737.9,11085.8,13565.7,9432.2,A,5487.2,7698.6,11063.2,13479.7,100,56.9,B,79.9,39.3,22.6,85.9,68.9,99.4,A,98.6,99.5,99.8,99.4,0.6,B,1.4,0.5,0.2,0.6
60,326,Plastics and rubber products manufacturing,0,Canada,2,Urban,2,Incorporated,2018,389,5000,20000,5000,7155,7155,9379,9379,13000,13000,20000,10259.5,A,5896,8156.6,10989.4,15996.2,10149,A,5799.1,8039.7,10811.6,15945.4,99.5,110.6,A,96.9,116.9,177.8,50.8,52.4,98.9,A,98.4,98.6,98.4,99.7,1.1,A,1.6,1.4,1.6,0.3
61,327,Non-metallic mineral product manufacturing,0,Canada,1,Rural,2,Incorporated,2018,51,5000,20000,5000,6052,6052,8035,8035,11000,11000,20000,9503,A,5470.5,7287.4,10259.2,14994.6,9275,A,5417.6,7241.2,10084.1,14357.2,100,227.9,A,52.9,46.2,175.1,637.5,72.5,97.6,A,99,99.4,98.3,95.7,2.4,A,1,0.6,1.7,4.3
62,327,Non-metallic mineral product manufacturing,0,Canada,2,Urban,2,Incorporated,2018,216,5000,20000,5000,6468,6468,8281,8281,12000,12000,20000,9654.6,A,5749.8,7317.3,9791.3,15759.9,9421,A,5581.7,7163.6,9578.7,15359.9,99.1,233.6,A,168,153.7,212.6,400,61.1,97.6,A,97.1,97.9,97.8,97.5,2.4,A,2.9,2.1,2.2,2.5
63,331,Primary metal manufacturing,0,Canada,1,Rural,2,Incorporated,2018,13,5000,20000,5000,5592,5592,11000,11000,13000,13000,20000,10286.9,A,5315.9,9228.7,12344.6,14258.4,10118.2,A,5314.1,9216.8,11855.5,14086.4,100,168.7,A,1.8,11.9,489.1,172,53.8,98.4,A,100,99.9,96,98.8,1.6,A,0,0.1,4,1.2
64,331,Primary metal manufacturing,0,Canada,2,Urban,2,Incorporated,2018,65,5000,20000,5000,6130,6130,8195,8195,12000,12000,20000,9973.2,A,5523.7,7175.1,10643.8,16550,9834.9,A,5183.4,7149.6,10534.4,16472.3,100,138.2,A,340.3,25.5,109.5,77.7,55.4,98.6,A,93.8,99.6,99,99.5,1.4,A,6.2,0.4,1,0.5
65,332,Fabricated metal product manufacturing,0,Canada,1,Rural,2,Incorporated,2018,121,5000,20000,5000,6024,6024,9707,9707,13000,13000,20000,9920.4,A,5563.5,7444,11192.8,15481.4,9799.6,A,5519.3,7401.9,11070.9,15206.4,100,120.8,A,44.2,42.1,121.9,275,65.3,98.8,A,99.2,99.4,98.9,98.2,1.2,A,0.8,0.6,1.1,1.8
66,332,Fabricated metal product manufacturing,0,Canada,2,Urban,2,Incorporated,2018,944,5000,20000,5000,6605,6605,8514,8514,12000,12000,20000,9669.9,A,5784,7484.6,9988.7,15422.5,9590,A,5762.5,7437.2,9837,15323.3,100,79.9,A,21.5,47.4,151.7,99.1,50.2,99.2,A,99.6,99.4,98.5,99.4,0.8,A,0.4,0.6,1.5,0.6
67,333,Machinery manufacturing,0,Canada,1,Rural,2,Incorporated,2018,116,5000,20000,5000,6971,6971,8858,8858,12000,12000,20000,10000.8,A,5985.6,8100.3,10489.4,15427.8,9788.6,A,5903.3,7765.4,10273.7,15212.2,99.1,212.1,A,82.4,334.9,215.7,215.6,69.8,97.9,A,98.6,95.9,97.9,98.6,2.1,A,1.4,4.1,2.1,1.4
68,333,Machinery manufacturing,0,Canada,2,Urban,2,Incorporated,2018,668,5000,20000,5000,6580,6580,8828,8828,13000,13000,20000,9954.2,A,5726.2,7702.7,10588.8,15799,9820.3,A,5611.8,7544,10470.7,15654.8,100,133.8,A,114.4,158.6,118.1,144.2,57.3,98.7,A,98,97.9,98.9,99.1,1.3,A,2,2.1,1.1,0.9
69,334,Computer and electronic product manufacturing,0,Canada,1,Rural,2,Incorporated,2018,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,50,X,A,X,X,X,X,X,A,X,X,X,X
70,334,Computer and electronic product manufacturing,0,Canada,2,Urban,2,Incorporated,2018,252,5000,20000,5000,6290,6290,8475,8475,13000,13000,20000,9857.1,A,5638.9,7249.6,10517.5,16022.4,9594.4,A,5482,6990.6,10105.7,15799.4,100,262.7,A,156.8,259,411.8,223,59.1,97.3,A,97.2,96.4,96.1,98.6,2.7,A,2.8,3.6,3.9,1.4
71,335,"Electrical equipment, appliance and component manufacturing",0,Canada,1,Rural,2,Incorporated,2018,10,5000,20000,5000,X,X,9107,9107,X,X,20000,9837.1,A,X,X,X,X,9826.8,A,X,X,X,X,100,10.3,A,X,X,X,X,30,99.9,A,X,X,X,X,0.1,A,X,X,X,X
72,335,"Electrical equipment, appliance and component manufacturing",0,Canada,2,Urban,2,Incorporated,2018,162,5000,20000,5000,6416,6416,9088,9088,12000,12000,20000,10018.3,A,5729.7,7800.3,10453.8,16089.4,9888.1,A,5542.1,7686.2,10369.5,15954.5,99.4,130.3,A,187.7,114.1,84.3,134.9,58.6,98.7,A,96.7,98.5,99.2,99.2,1.3,A,3.3,1.5,0.8,0.8
73,336,Transportation equipment manufacturing,0,Canada,1,Rural,2,Incorporated,2018,51,5000,20000,5000,6200,6200,8835,8835,12000,12000,20000,9938.8,A,5649.1,7869.9,10871.8,15364.4,9828.8,A,5478.6,7785.2,10821.6,15229.9,100,110,A,170.5,84.6,50.2,134.5,68.6,98.9,A,97,98.9,99.5,99.1,1.1,A,3,1.1,0.5,0.9
74,336,Transportation equipment manufacturing,0,Canada,2,Urban,2,Incorporated,2018,216,5000,20000,5000,6397,6397,9280,9280,14000,14000,20000,10365.2,A,5642.5,7778.9,11080.2,16959.3,10191.9,A,5566.4,7625,10753.9,16822.2,100,173.3,B,76,153.9,326.3,137,53.2,98.3,A,98.7,98,97.1,99.2,1.7,B,1.3,2,2.9,0.8
75,337,Furniture and related product manufacturing,0,Canada,1,Rural,2,Incorporated,2018,47,5000,20000,5000,5766,5766,8064,8064,10000,10000,20000,8664.7,A,5422.9,6822.3,9049.1,13364.5,8634.2,A,5400.9,6774.2,9030,13331.9,100,30.5,A,22.1,48.1,19.2,32.5,59.6,99.6,A,99.6,99.3,99.8,99.8,0.4,A,0.4,0.7,0.2,0.2
76,337,Furniture and related product manufacturing,0,Canada,2,Urban,2,Incorporated,2018,270,5000,20000,5000,6309,6309,8352,8352,12000,12000,20000,9531.4,A,5669.9,7233.8,10068.9,15153.2,9489.6,A,5648.6,7202.1,9999.1,15108.7,100,41.8,A,21.3,31.7,69.8,44.5,50.7,99.6,A,99.6,99.6,99.3,99.7,0.4,A,0.4,0.4,0.7,0.3
77,339,Miscellaneous manufacturing,0,Canada,1,Rural,2,Incorporated,2018,34,5000,20000,5000,6314,6314,7326,7326,10000,10000,20000,8161.9,A,5800.9,6903.2,8827.5,11116.1,8102.7,A,5735,6820.6,8753.4,11101.9,100,59.2,A,65.8,82.6,74.1,14.2,64.7,99.3,A,98.9,98.8,99.2,99.9,0.7,A,1.1,1.2,0.8,0.1
78,339,Miscellaneous manufacturing,0,Canada,2,Urban,2,Incorporated,2018,313,5000,20000,5000,6180,6180,8236,8236,12000,12000,20000,9283.8,A,5506.7,7182.8,9735.2,14710.4,9132.6,A,5375.9,7145.8,9470.9,14537.7,99.4,151.2,A,130.8,37,264.3,172.7,50.8,98.4,A,97.6,99.5,97.3,98.8,1.6,A,2.4,0.5,2.7,1.2
79,41,Wholesale trade,0,Canada,1,Rural,2,Incorporated,2018,797,5000,20000,5000,6402,6402,8730,8730,12000,12000,20000,9821.5,A,5650.5,7459.4,10321.2,15855,9730.1,A,5560.2,7353.8,10255.9,15750.4,99.7,91.4,A,90.3,105.5,65.3,104.7,61.4,99.1,A,98.4,98.6,99.4,99.3,0.9,A,1.6,1.4,0.6,0.7
80,41,Wholesale trade,0,Canada,2,Urban,2,Incorporated,2018,6587,5000,20000,5000,6491,6491,8801,8801,13000,13000,20000,9913.2,A,5693.1,7540.4,10504.2,15915.1,9769.6,A,5598,7430.8,10385.4,15664.3,99.7,143.5,A,95.1,109.5,118.7,250.8,46.8,98.6,A,98.3,98.5,98.9,98.4,1.4,A,1.7,1.5,1.1,1.6
81,411,Farm product merchant wholesalers,0,Canada,1,Rural,2,Incorporated,2018,53,5000,20000,5000,6556,6556,8730,8730,13000,13000,20000,10354,A,5781.3,7838.7,10624.4,17171.5,10236.9,A,5725.1,7763.7,10379.1,17079.6,100,117.1,A,56.2,75,245.4,91.9,69.8,98.9,A,99,99,97.7,99.5,1.1,A,1,1,2.3,0.5
82,411,Farm product merchant wholesalers,0,Canada,2,Urban,2,Incorporated,2018,94,5000,20000,5000,6094,6094,9015,9015,12000,12000,20000,9877.4,A,5479.8,7471.9,10653.8,15904.1,9608.3,A,5236.6,7455.9,10605.7,15135.2,100,269.1,A,243.3,16,48.1,768.9,52.1,97.3,A,95.6,99.8,99.5,95.2,2.7,A,4.4,0.2,0.5,4.8
83,412,Petroleum and petroleum products merchant wholesalers,0,Canada,1,Rural,2,Incorporated,2018,35,5000,20000,5000,7120,7120,9346,9346,12000,12000,20000,10492.8,A,6207.7,8522,11396.5,15845,10471.8,A,6181.4,8496.5,11386.9,15822.3,100,21.1,B,26.3,25.6,9.6,22.7,60,99.8,A,99.6,99.7,99.9,99.9,0.2,B,0.4,0.3,0.1,0.1
84,412,Petroleum and petroleum products merchant wholesalers,0,Canada,2,Urban,2,Incorporated,2018,59,5000,20000,5000,7500,7500,11000,11000,15000,15000,20000,11527.4,A,6379,9118.5,13013.6,17598.6,11073.4,A,6376,8448,11994.1,17475.6,98.3,454,A,3,670.5,1019.5,123,47.5,96.1,A,100,92.6,92.2,99.3,3.9,A,0,7.4,7.8,0.7
85,413,"Food, beverage and tobacco merchant wholesalers",0,Canada,1,Rural,2,Incorporated,2018,151,5000,20000,5000,6563,6563,8841,8841,13000,13000,20000,9888.6,A,5681.1,7873,10149.5,15850.9,9797.4,A,5559.3,7776.5,10054.8,15799.2,100,91.2,A,121.8,96.5,94.7,51.7,55.6,99.1,A,97.9,98.8,99.1,99.7,0.9,A,2.1,1.2,0.9,0.3
86,413,"Food, beverage and tobacco merchant wholesalers",0,Canada,2,Urban,2,Incorporated,2018,932,5000,20000,5000,6525,6525,8864,8864,13000,13000,20000,10161.1,A,5728.2,7581,10993.9,16341.2,10095.5,A,5686.7,7542,10936.2,16217.3,100,65.5,A,41.4,39,57.7,123.9,41.1,99.4,A,99.3,99.5,99.5,99.2,0.6,A,0.7,0.5,0.5,0.8
87,414,Personal and household goods merchant wholesalers,0,Canada,1,Rural,2,Incorporated,2018,12,5000,20000,5000,X,X,6827,6827,X,X,20000,8038.1,A,X,X,X,X,8030.9,A,X,X,X,X,100,7.1,A,X,X,X,X,41.7,99.9,A,X,X,X,X,0.1,A,X,X,X,X
88,414,Personal and household goods merchant wholesalers,0,Canada,2,Urban,2,Incorporated,2018,854,5000,20000,5000,6535,6535,8703,8703,12000,12000,20000,9810.8,A,5720.7,7453.8,10321.9,15746.7,9695.4,A,5616.9,7393.9,10226.9,15543.9,99.8,115.4,A,103.8,59.9,95,202.8,45.9,98.8,A,98.2,99.2,99.1,98.7,1.2,A,1.8,0.8,0.9,1.3
89,415,Motor vehicle and motor vehicle parts and accessories merchant wholesalers,0,Canada,1,Rural,2,Incorporated,2018,55,5000,20000,5000,5936,5936,9328,9328,14000,14000,20000,10359.2,A,5539.6,7752.7,11162.7,16982,10252.4,A,5515.1,7576.3,11036.5,16881.6,100,106.9,A,24.5,176.4,126.2,100.4,70.9,99,A,99.6,97.7,98.9,99.4,1,A,0.4,2.3,1.1,0.6
90,415,Motor vehicle and motor vehicle parts and accessories merchant wholesalers,0,Canada,2,Urban,2,Incorporated,2018,465,5000,20000,5000,6637,6637,9154,9154,13000,13000,20000,10117.9,A,5733.4,7702.9,10837,16198.3,10038,A,5701.3,7656.7,10805.5,15988.3,99.8,79.9,B,32.1,46.1,31.5,210,43.4,99.2,A,99.4,99.4,99.7,98.7,0.8,B,0.6,0.6,0.3,1.3
91,416,Building material and supplies merchant wholesalers,0,Canada,1,Rural,2,Incorporated,2018,66,5000,20000,5000,6422,6422,8386,8386,12000,12000,20000,9792,A,5761.7,7294.6,10401,15710.5,9614.5,A,5737.3,6811.4,10361.2,15548,98.5,177.5,A,24.4,483.2,39.8,162.5,56.1,98.2,A,99.6,93.4,99.6,99,1.8,A,0.4,6.6,0.4,1
92,416,Building material and supplies merchant wholesalers,0,Canada,2,Urban,2,Incorporated,2018,1058,5000,20000,5000,6472,6472,8741,8741,13000,13000,20000,9917.2,A,5683.5,7522.8,10483.2,15979.2,9804,A,5603.1,7478.4,10304.6,15830,99.9,113.2,B,80.4,44.5,178.6,149.2,46.4,98.9,A,98.6,99.4,98.3,99.1,1.1,B,1.4,0.6,1.7,0.9
93,417,"Machinery, equipment and supplies merchant wholesalers",0,Canada,1,Rural,2,Incorporated,2018,251,5000,20000,5000,6305,6305,8244,8244,12000,12000,20000,9507.7,A,5653.7,7212.7,9925.2,15239.4,9458.8,A,5630.1,7173,9880.9,15151.1,100,49,A,23.6,39.7,44.3,88.3,62.9,99.5,A,99.6,99.4,99.6,99.4,0.5,A,0.4,0.6,0.4,0.6
94,417,"Machinery, equipment and supplies merchant wholesalers",0,Canada,2,Urban,2,Incorporated,2018,1843,5000,20000,5000,6463,6463,8835,8835,12000,12000,20000,9829.2,A,5693.9,7594.3,10401.4,15627.2,9675,A,5612.4,7504.2,10282.1,15301.3,99.8,154.2,A,81.5,90.1,119.4,325.8,49,98.4,A,98.6,98.8,98.9,97.9,1.6,A,1.4,1.2,1.1,2.1
95,418,Miscellaneous merchant wholesalers,0,Canada,1,Rural,2,Incorporated,2018,142,5000,20000,5000,6221,6221,8786,8786,12000,12000,20000,9954.2,A,5556.4,7383.3,10753.6,16123.7,9850.6,A,5371,7349.1,10679.9,16002.4,99.3,103.6,A,185.4,34.2,73.7,121.3,62,99,A,96.7,99.5,99.3,99.2,1,A,3.3,0.5,0.7,0.8
96,418,Miscellaneous merchant wholesalers,0,Canada,2,Urban,2,Incorporated,2018,918,5000,20000,5000,6453,6453,8675,8675,13000,13000,20000,9841.1,A,5659.9,7461.6,10348.3,15894.4,9714,A,5573.2,7310.8,10234.1,15738,99.8,127,A,86.8,150.8,114.1,156.4,48.8,98.7,A,98.5,98,98.9,99,1.3,A,1.5,2,1.1,1
97,419,"Business-to-business electronic markets, and agents and brokers",0,Canada,1,Rural,2,Incorporated,2018,32,5000,20000,5000,6242,6242,7367,7367,12000,12000,20000,9566.4,A,5696.7,6751.2,10373.2,15444.6,9332.9,A,5089.3,6661.3,10213.1,15368,100,233.5,A,607.4,89.9,160.1,76.6,62.5,97.6,A,89.3,98.7,98.5,99.5,2.4,A,10.7,1.3,1.5,0.5
98,419,"Business-to-business electronic markets, and agents and brokers",0,Canada,2,Urban,2,Incorporated,2018,364,5000,20000,5000,6415,6415,8451,8451,12000,12000,20000,9600.1,A,5602.3,7252.2,9957.7,15588.2,9116.1,A,5305.7,6542.8,9702.7,14913.2,97,484,A,296.6,709.4,255,675,51.4,95,A,94.7,90.2,97.4,95.7,5,A,5.3,9.8,2.6,4.3
99,44-45,Retail trade,0,Canada,1,Rural,2,Incorporated,2018,2065,5000,20000,5000,6339,6339,8554,8554,13000,13000,20000,9741.4,A,5615.5,7306.8,10324.5,15718.8,9573.4,A,5528,7199,10150.6,15416.1,99.9,168,A,87.6,107.8,173.9,302.7,73.6,98.3,A,98.4,98.5,98.3,98.1,1.7,A,1.6,1.5,1.7,1.9
100,44-45,Retail trade,0,Canada,2,Urban,2,Incorporated,2018,6924,5000,20000,5000,6522,6522,8858,8858,13000,13000,20000,10006.4,A,5686.9,7603.5,10717.6,16017.5,9846,A,5612.5,7494.6,10550.2,15726.9,99.9,160.3,A,74.4,108.9,167.4,290.6,61.6,98.4,A,98.7,98.6,98.4,98.2,1.6,A,1.3,1.4,1.6,1.8
101,441,Motor vehicle and parts dealers,0,Canada,1,Rural,2,Incorporated,2018,550,5000,20000,5000,7162,7162,11000,11000,15000,15000,20000,11190.6,A,6130.8,8861.5,12776.8,16993.2,11028,A,6087.1,8775.7,12581.5,16667.6,99.8,162.6,A,43.7,85.7,195.3,325.6,72.4,98.5,A,99.3,99,98.5,98.1,1.5,A,0.7,1,1.5,1.9
102,441,Motor vehicle and parts dealers,0,Canada,2,Urban,2,Incorporated,2018,1585,5000,20000,5000,6956,6956,10000,10000,15000,15000,20000,10950.5,A,5914.5,8470.8,12219.2,17197.5,10819.2,A,5868,8376.8,12059.6,16972.3,99.9,131.4,A,46.5,94,159.7,225.3,56.8,98.8,A,99.2,98.9,98.7,98.7,1.2,A,0.8,1.1,1.3,1.3
103,442,Furniture and home furnishings stores,0,Canada,1,Rural,2,Incorporated,2018,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,50,X,A,X,X,X,X,X,A,X,X,X,X
104,442,Furniture and home furnishings stores,0,Canada,2,Urban,2,Incorporated,2018,311,5000,20000,5000,6165,6165,7683,7683,9983,9983,20000,8649.9,A,5520.5,6825.8,8707.4,13545.9,8591.3,A,5507.6,6792.7,8587.5,13477.5,100,58.6,A,12.9,33.1,120,68.3,52.7,99.3,A,99.8,99.5,98.6,99.5,0.7,A,0.2,0.5,1.4,0.5
105,443,Electronics and appliance stores,0,Canada,1,Rural,2,Incorporated,2018,6,5000,20000,5000,X,X,X,X,X,X,20000,7410.4,A,X,X,X,X,7404.4,A,X,X,X,X,100,6,C,X,X,X,X,50,99.9,A,X,X,X,X,0.1,C,X,X,X,X
106,443,Electronics and appliance stores,0,Canada,2,Urban,2,Incorporated,2018,133,5000,20000,5000,5737,5737,7307,7307,9973,9973,20000,8490.4,A,5355.2,6524.3,8488.9,13593.1,8287.2,A,5300.9,6329,8314.7,13204.3,100,203.2,A,54.4,195.3,174.3,388.7,55.6,97.6,A,99,97,97.9,97.1,2.4,A,1,3,2.1,2.9
107,444,Building material and garden equipment and supplies dealers,0,Canada,1,Rural,2,Incorporated,2018,272,5000,20000,5000,6065,6065,8178,8178,12000,12000,20000,9288.1,A,5508.6,6974.2,9723.3,14946.2,9154.1,A,5449,6900.4,9585.3,14681.6,100,134,A,59.6,73.8,137.9,264.6,83.8,98.6,A,98.9,98.9,98.6,98.2,1.4,A,1.1,1.1,1.4,1.8
108,444,Building material and garden equipment and supplies dealers,0,Canada,2,Urban,2,Incorporated,2018,530,5000,20000,5000,6133,6133,7993,7993,12000,12000,20000,9282.4,A,5558.6,6970.3,9631.2,14969.3,9214.9,A,5522.9,6929.6,9556.3,14850.9,100,67.4,A,35.7,40.7,75,118.4,64.2,99.3,A,99.4,99.4,99.2,99.2,0.7,A,0.6,0.6,0.8,0.8
109,445,Food and beverage stores,0,Canada,1,Rural,2,Incorporated,2018,470,5000,20000,5000,6420,6420,9423,9423,14000,14000,20000,10366,A,5685.5,7759.3,11473.5,16545.6,10155.9,A,5582.7,7607.5,11224.4,16208.8,100,210.1,A,102.8,151.8,249.1,336.8,73.2,98,A,98.2,98,97.8,98,2,A,1.8,2,2.2,2
110,445,Food and beverage stores,0,Canada,2,Urban,2,Incorporated,2018,1131,5000,20000,5000,6754,6754,10000,10000,15000,15000,20000,10908.2,A,5748.3,8251.7,12514.6,17118.2,10678.1,A,5679.5,8115.6,12237.5,16679.6,99.8,230.1,A,68.8,136.1,277.1,438.6,59.9,97.9,A,98.8,98.4,97.8,97.4,2.1,A,1.2,1.6,2.2,2.6
111,446,Health and personal care stores,0,Canada,1,Rural,2,Incorporated,2018,169,5000,20000,5000,5838,5838,7022,7022,8963,8963,20000,7911.6,A,5426,6463.7,8004,11752.7,7726.3,A,5283.2,6341.5,7789.2,11491.2,100,185.3,A,142.8,122.2,214.8,261.5,76.9,97.7,A,97.4,98.1,97.3,97.8,2.3,A,2.6,1.9,2.7,2.2
112,446,Health and personal care stores,0,Canada,2,Urban,2,Incorporated,2018,1222,5000,20000,5000,7017,7017,9465,9465,13000,13000,20000,10236.4,A,5959.9,8237,11080.1,15668.4,9965.6,A,5819,7970.5,10786.6,15286.2,100,270.8,A,140.9,266.6,293.5,382.2,75.6,97.4,A,97.6,96.8,97.4,97.6,2.6,A,2.4,3.2,2.6,2.4
113,447,Gasoline stations,0,Canada,1,Rural,2,Incorporated,2018,316,5000,20000,5000,5674,5674,6652,6652,8801,8801,20000,7668,A,5359.3,6057.5,7550.4,11704.7,7559.3,A,5254.5,6006.4,7478,11498.3,100,108.7,A,104.8,51.1,72.4,206.4,59.5,98.6,A,98,99.2,99,98.2,1.4,A,2,0.8,1,1.8
114,447,Gasoline stations,0,Canada,2,Urban,2,Incorporated,2018,770,5000,20000,5000,5892,5892,7208,7208,9332,9332,20000,8180.8,A,5447,6520.4,8137.9,12617.9,8053.7,A,5385,6452.8,8028.5,12348.6,99.9,127.1,A,61.9,67.7,109.4,269.2,56.1,98.4,A,98.9,99,98.7,97.9,1.6,A,1.1,1,1.3,2.1
115,448,Clothing and clothing accessories stores,0,Canada,1,Rural,2,Incorporated,2018,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,62.5,X,A,X,X,X,X,X,A,X,X,X,X
116,448,Clothing and clothing accessories stores,0,Canada,2,Urban,2,Incorporated,2018,259,5000,20000,5000,6308,6308,8404,8404,11000,11000,20000,9308.6,A,5543.1,7338.9,9638.1,14714.2,9161.4,A,5329.1,7250.7,9438.3,14627.5,98.8,147.2,B,214.1,88.2,199.8,86.7,49.4,98.4,A,96.1,98.8,97.9,99.4,1.6,B,3.9,1.2,2.1,0.6
117,451,"Sporting goods, hobby, book and music stores",0,Canada,1,Rural,2,Incorporated,2018,7,5000,20000,5000,X,X,8228,8228,X,X,20000,9094.8,A,X,X,X,X,9008.8,A,X,X,X,X,100,86,A,X,X,X,X,71.4,99.1,A,X,X,X,X,0.9,A,X,X,X,X
