ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,114,"Fishing, hunting and trapping",0,Canada,1,Rural,2,Incorporated,2018,X,X,X,X,X,X,X,X,X,X,X,X,B,X,X,X,X,X,C,X,X,X,X,100,X,A,X,X,X,X,51.7,X,C,X,X,X,X,X,A,X,X,X,X
12,114,"Fishing, hunting and trapping",0,Canada,2,Urban,2,Incorporated,2018,13,5000,20000,5000,5989,5989,8693,8693,10000,10000,20000,9668.8,A,5580.1,8018.3,10003.7,15073.3,9171.1,B,5580,7804.7,9880,13419.8,100,497.7,A,0.1,213.6,123.7,1653.5,53.8,94.9,B,100,97.3,98.8,89,5.1,A,0,2.7,1.2,11
13,115,Support activities for agriculture and forestry,0,Canada,1,Rural,2,Incorporated,2018,91,5000,20000,5000,6069,6069,7336,7336,10000,10000,20000,8889.7,A,5520.4,6748.2,9160.6,14129.4,8224.6,A,4959.8,5192.6,8658.8,14087.2,95.6,665.1,B,560.6,1555.6,501.8,42.2,74.7,92.5,A,89.8,76.9,94.5,99.7,7.5,B,10.2,23.1,5.5,0.3
14,115,Support activities for agriculture and forestry,0,Canada,2,Urban,2,Incorporated,2018,108,5000,20000,5000,6574,6574,8447,8447,11000,11000,20000,9594.1,A,5911.2,7464.4,9747.1,15253.7,8676.2,A,4995.1,6370.8,8551.1,14788,92.6,917.9,B,916.1,1093.6,1196,465.7,71.3,90.4,A,84.5,85.3,87.7,96.9,9.6,B,15.5,14.7,12.3,3.1
15,21,"Mining, quarrying, and oil and gas extraction",0,Canada,1,Rural,2,Incorporated,2018,168,5000,20000,5000,6247,6247,8277,8277,12000,12000,20000,9607.2,A,5667.6,7162.6,10060.6,15537.9,9415.5,A,5510.1,6905.2,10001.2,15245.6,99.4,191.6,A,157.5,257.4,59.4,292.3,64.9,98,A,97.2,96.4,99.4,98.1,2,A,2.8,3.6,0.6,1.9
16,21,"Mining, quarrying, and oil and gas extraction",0,Canada,2,Urban,2,Incorporated,2018,400,5000,20000,5000,6820,6820,9271,9271,13000,13000,20000,10336.9,A,5920.1,8047.9,11261.3,16118.4,9531.1,A,5270.6,7338.9,10315.9,15199.2,94.5,805.8,B,649.5,709.1,945.4,919.2,64.5,92.2,A,89,91.2,91.6,94.3,7.8,B,11,8.8,8.4,5.7
17,211,Oil and gas extraction,0,Canada,1,Rural,2,Incorporated,2018,6,5000,20000,5000,X,X,X,X,X,X,20000,8931.5,A,X,X,X,X,8469.7,A,X,X,X,X,100,461.8,A,X,X,X,X,100,94.8,A,X,X,X,X,5.2,A,X,X,X,X
18,211,Oil and gas extraction,0,Canada,2,Urban,2,Incorporated,2018,83,5000,20000,5000,6636,6636,9797,9797,14000,14000,20000,10728.7,A,5758,8172.5,12249.7,16734.5,9716.5,B,5389.3,7032.3,11088.6,15355.7,95.2,1012.2,B,368.7,1140.3,1161.1,1378.8,63.9,90.6,B,93.6,86,90.5,91.8,9.4,B,6.4,14,9.5,8.2
19,212,Mining and quarrying (except oil and gas),0,Canada,1,Rural,2,Incorporated,2018,44,5000,20000,5000,6617,6617,10000,10000,15000,15000,20000,10817.6,A,5850.3,8171.5,12086.5,17162.1,10631.8,A,5421,7949.7,12042.9,17113.8,100,185.8,A,429.4,221.9,43.7,48.3,70.5,98.3,A,92.7,97.3,99.6,99.7,1.7,A,7.3,2.7,0.4,0.3
20,212,Mining and quarrying (except oil and gas),0,Canada,2,Urban,2,Incorporated,2018,69,5000,20000,5000,6815,6815,9098,9098,13000,13000,20000,10378.8,A,6045.9,8075.4,11480.8,15913,10068.6,A,5906.7,7359.2,11331.4,15677.1,98.6,310.2,A,139.1,716.2,149.4,235.9,69.6,97,A,97.7,91.1,98.7,98.5,3,A,2.3,8.9,1.3,1.5
