ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,All industries,13,New Brunswick,2,Urban,3,All businesses,2017,79.2,457.7,A,47.6,117.6,299,1368.5,365.4,A,26.1,74.8,212.5,1149.4,92.3,A,21.5,42.8,86.6,219,441.9,A,48,117.2,301.1,1294.3,501.3,A,71.1,155.7,350.9,1419.5,-59.4,B,-23.1,-38.4,-49.8,-125.2
13,0,All industries,24,Québec,1,Rural,3,All businesses,2017,77.2,412.8,A,44.1,102.2,275.3,1338.6,339.2,A,23.9,68,205,1154.6,73.6,A,20.2,34.2,70.4,183.9,496.8,A,44,103.5,283.9,1218.8,590.7,A,61.6,132,333,1441.3,-93.9,A,-17.7,-28.5,-49.1,-222.5
14,0,All industries,24,Québec,2,Urban,3,All businesses,2017,83.3,383.4,A,40.6,82,222.1,1230.3,295.8,A,21.4,45.7,142.1,1007.9,87.5,A,19.2,36.3,80,222.4,438.2,A,40.1,84.4,225.5,1200,530.4,A,91.3,120,280.6,1401.8,-92.2,B,-51.2,-35.6,-55.1,-201.8
15,0,All industries,35,Ontario,1,Rural,3,All businesses,2017,78.2,412.3,A,45.2,104.7,272.6,1338.5,335.3,A,24.8,66.4,201.6,1145.6,77,A,20.4,38.3,71,193,533.2,A,44.9,106.9,280.6,1309.1,638.6,A,65.3,137.1,329.1,1560.1,-105.4,A,-20.4,-30.3,-48.6,-251
16,0,All industries,35,Ontario,2,Urban,3,All businesses,2017,81.6,384.4,A,42.6,89.7,220.8,1216,294.4,A,23.3,52.5,147.5,979.4,90.1,A,19.3,37.2,73.3,236.6,414.3,A,42.6,90.8,224.3,1166.2,498.6,A,68.3,130.5,281.5,1360.8,-84.3,B,-25.6,-39.6,-57.2,-194.6
17,0,All industries,49,Prairies,1,Rural,3,All businesses,2017,70.6,416.1,A,49.4,126.9,312,1433.6,326.4,A,24.7,80.4,225,1193.9,89.7,A,24.7,46.5,87,239.6,643.2,B,50.3,126.4,330.7,1442.7,807.2,A,79.5,169.7,418.4,1793.8,-164,A,-29.3,-43.3,-87.7,-351.1
18,0,All industries,49,Prairies,2,Urban,3,All businesses,2017,79.1,396.6,A,45.6,104.4,250.2,1249.5,293.5,A,23.3,58.8,158,984.8,103.1,A,22.3,45.6,92.3,264.7,484.8,A,45.9,104.7,253.9,1288.1,602.5,A,83.9,147.4,363.7,1527.9,-117.7,B,-38.1,-42.7,-109.9,-239.8
19,0,All industries,46,Manitoba,1,Rural,3,All businesses,2017,72.8,423.2,A,45.2,115.6,326.3,1539.5,348.9,A,22.3,75.1,251.7,1341.6,74.3,A,22.9,40.5,74.6,197.9,729.8,A,45.5,115.8,352.2,1521,883.6,A,66.2,149.7,432.8,1828.6,-153.8,A,-20.6,-33.9,-80.6,-307.7
20,0,All industries,46,Manitoba,2,Urban,3,All businesses,2017,81.2,421.6,A,45.1,104.6,267.9,1349,327.1,A,22,61.1,179,1113.3,94.5,A,23.2,43.6,88.9,235.7,519.8,A,45.7,108,270.9,1315.8,597.2,A,69.6,139.6,332.3,1471.9,-77.4,B,-23.8,-31.5,-61.4,-156.2
21,0,All industries,47,Saskatchewan,1,Rural,3,All businesses,2017,66.4,410.7,A,49,136,378.8,1523.2,322.3,A,22,85.3,283.1,1276.7,88.3,A,27,50.7,95.7,246.5,752.6,B,50.3,138.5,413.5,1523.4,974.5,A,77.5,197.1,545.8,1952.6,-222,B,-27.2,-58.6,-132.3,-429.2
