ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Percent of profitable businesses,Profitable : Total Revenue,"Profitable : Total Revenue, quality indicator","Profitable : Total Revenue, first quartile","Profitable : Total Revenue, second quartile","Profitable : Total Revenue, third quartile","Profitable : Total Revenue, fourth quartile",Profitable : Total Expenses,"Profitable : Total Expenses, quality indicator","Profitable : Total Expenses, first quartile","Profitable : Total Expenses, second quartile","Profitable : Total Expenses, third quartile","Profitable : Total Expenses, fourth quartile",Profitable : Net Profit,"Profitable : Net Profit, quality indicator","Profitable : Net Profit, first quartile","Profitable : Net Profit, second quartile","Profitable : Net Profit, third quartile","Profitable : Net Profit, fourth quartile",Non-profitable : Total Revenue,"Non-profitable : Total Revenue, quality indicator","Non-profitable : Total Revenue, first quartile","Non-profitable : Total Revenue, second quartile","Non-profitable : Total Revenue, third quartile","Non-profitable : Total Revenue, fourth quartile",Non-profitable : Total expenses,"Non-profitable : Total expenses, quality indicator","Non-profitable : Total expenses, first quartile","Non-profitable : Total expenses, second quartile","Non-profitable : Total expenses, third quartile","Non-profitable : Total expenses, fourth quartile",Non-profitable : Net loss,"Non-profitable : Net loss, quality indicator","Non-profitable : Net loss, first quartile","Non-profitable : Net loss, second quartile","Non-profitable : Net loss, third quartile","Non-profitable : Net loss, fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,All industries,35,Ontario,1,Rural,3,All businesses,2018,78.5,414.4,A,511.5,713.5,347.5,168.5,336.1,A,509.9,667,263.2,53.6,78.3,A,1.5,46.5,84.3,114.9,539.1,A,X,X,X,X,651.7,A,X,X,X,X,-112.6,A,X,X,X,X
16,0,All industries,35,Ontario,2,Urban,3,All businesses,2018,81.7,381.1,A,599.9,604.9,280.2,199.3,291.1,A,594.5,552.3,189.6,49.7,90,A,5.4,52.6,90.6,149.6,411.7,A,X,X,X,X,507.1,A,X,X,X,X,-95.4,B,X,X,X,X
17,0,All industries,49,Prairies,1,Rural,3,All businesses,2018,70.3,411.1,A,X,X,408.2,187.1,321.9,A,X,X,312.3,61.9,89.2,A,X,X,95.9,125.3,654.4,B,X,X,X,X,836.3,A,X,X,X,X,-181.9,B,X,X,X,X
18,0,All industries,49,Prairies,2,Urban,3,All businesses,2018,79.4,399.1,A,607.3,649.2,300.3,210.7,295.8,A,603.4,590.3,194.8,47.8,103.2,A,3.9,58.9,105.5,162.9,486,A,X,X,X,X,597.3,A,X,X,X,X,-111.4,B,X,X,X,X
19,0,All industries,46,Manitoba,1,Rural,3,All businesses,2018,71.2,410.6,A,X,X,409.1,136.6,338.6,A,X,X,323.5,46,72,A,X,X,85.6,90.6,757.1,A,X,X,X,X,932.9,A,X,X,X,X,-175.8,A,X,X,X,X
20,0,All industries,46,Manitoba,2,Urban,3,All businesses,2018,81.5,423.9,A,698.8,705.9,307.1,187.1,329.4,A,692.7,646.2,205,42.1,94.6,A,6.1,59.8,102.1,145,533.7,A,X,X,X,X,615.8,A,X,X,X,X,-82,B,X,X,X,X
21,0,All industries,47,Saskatchewan,1,Rural,3,All businesses,2018,65,396.7,A,X,X,426.2,163,311.4,A,X,X,335.3,51.7,85.3,A,X,X,91,111.4,739,B,X,X,X,X,973.7,A,X,X,X,X,-234.7,B,X,X,X,X
22,0,All industries,47,Saskatchewan,2,Urban,3,All businesses,2018,79.5,416.1,A,626.9,701,301.5,207.7,308.2,A,623.1,635.1,190.4,42,107.9,A,3.8,65.9,111.1,165.7,571.6,A,X,X,X,X,704.7,A,X,X,X,X,-133.1,B,X,X,X,X
23,0,All industries,48,Alberta,1,Rural,3,All businesses,2018,72.4,417.1,A,X,X,403.3,212,321.3,A,X,X,302.2,70.7,95.8,A,X,X,101.1,141.3,574.6,A,X,X,X,X,728.4,A,X,X,X,X,-153.8,B,X,X,X,X
24,0,All industries,48,Alberta,2,Urban,3,All businesses,2018,79,391.3,A,582.5,629,298.3,215.8,287.3,A,579,571.4,193.3,50,104,A,3.5,57.6,105,165.7,463.7,A,X,X,X,X,576.2,A,X,X,X,X,-112.5,B,X,X,X,X
