ID,"North American Industry Classification System, NAICS - code","North American Industry Classification System, NAICS",Geography - code,Geography,Location indicator - code,Location indicator,Incorporation status - code,Incorporation status,Reference year,Total number of businesses,"All businesses, minimum revenue value","All businesses, maximum revenue value","Businesses in first quartile, minimum value in revenue range","Businesses in first quartile, maximum value in revenue range","Businesses in second quartile, minimum value in revenue range","Businesses in second quartile, maximum value in revenue range","Businesses in third quartile, minimum value in revenue range","Businesses in third quartile, maximum value in revenue range","Businesses in fourth quartile, minimum value in revenue range","Businesses in fourth quartile, maximum value in revenue range",Total revenue,"Total revenue, quality indicator","Total revenue, first quartile","Total revenue, second quartile","Total revenue, third quartile","Total revenue, fourth quartile",Sales of goods and services,"Sales of goods and services, quality indicator","Sales of goods and services, first quartile","Sales of goods and services, second quartile","Sales of goods and services, third quartile","Sales of goods and services, fourth quartile","Sales of goods and services, percent of businesses reporting",All other revenues,"All other revenues,  quality indicator","All other revenues,  first quartile","All other revenues,  second quartile","All other revenues,  third quartile","All other revenues,  fourth quartile","All other revenues,  percent of businesses reporting",Sales of goods and services ( percent of total revenue),"Sales of goods and services ( percent of total revenue), quality indicator","Sales of goods and services ( percent of total revenue), first quartile","Sales of goods and services ( percent of total revenue), second quartile","Sales of goods and services ( percent of total revenue), third quartile","Sales of goods and services ( percent of total revenue), fourth quartile",All other revenues ( percent of total revenue),"All other revenues ( percent of total revenue), quality indicator","All other revenues ( percent of total revenue), first quartile","All other revenues ( percent of total revenue), second quartile","All other revenues ( percent of total revenue), third quartile","All other revenues ( percent of total revenue), fourth quartile"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,114,"Fishing, hunting and trapping",0,Canada,1,Rural,2,Incorporated,2017,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,B,X,X,X,X,100,X,A,X,X,X,X,65.4,X,B,X,X,X,X,X,A,X,X,X,X
12,114,"Fishing, hunting and trapping",0,Canada,2,Urban,2,Incorporated,2017,14,5000,20000,5000,6198,6198,8176,8176,11000,11000,20000,10146.1,A,5768.6,7647.7,10372.6,16795.4,9872.3,B,5550.3,7261.1,10372.1,16305.7,100,273.8,A,218.3,386.6,0.5,489.7,50,97.3,B,96.2,94.9,100,97.1,2.7,A,3.8,5.1,0,2.9
13,115,Support activities for agriculture and forestry,0,Canada,1,Rural,2,Incorporated,2017,81,5000,20000,5000,6658,6658,8019,8019,10000,10000,20000,9290.7,A,5803.2,7433.6,9184.9,14741.1,8766.9,A,5527.8,7098.9,7838.7,14602,96.3,523.8,B,275.4,334.7,1346.2,139.1,70.4,94.4,A,95.3,95.5,85.3,99.1,5.6,B,4.7,4.5,14.7,0.9
14,115,Support activities for agriculture and forestry,0,Canada,2,Urban,2,Incorporated,2017,102,5000,20000,5000,6193,6193,8111,8111,11000,11000,20000,9243.7,A,5573,7004.6,9287.4,15109.8,8297.8,A,4866.3,6349.1,7717.3,14258.3,92.2,946,B,706.7,655.5,1570.1,851.5,62.7,89.8,A,87.3,90.6,83.1,94.4,10.2,B,12.7,9.4,16.9,5.6
15,21,"Mining, quarrying, and oil and gas extraction",0,Canada,1,Rural,2,Incorporated,2017,131,5000,20000,5000,6474,6474,8033,8033,11000,11000,20000,9178.2,A,5856.5,7254,9482.6,14119.5,8982.9,A,5831.1,6895.7,9156.5,14048.2,98.5,195.3,A,25.4,358.3,326.1,71.3,58,97.9,A,99.6,95.1,96.6,99.5,2.1,A,0.4,4.9,3.4,0.5
16,21,"Mining, quarrying, and oil and gas extraction",0,Canada,2,Urban,2,Incorporated,2017,385,5000,20000,5000,6608,6608,8941,8941,13000,13000,20000,10134.1,A,5791.5,7667.3,10962.8,16114.9,9069.6,A,5345.1,6497.8,9988.5,14447,93.5,1064.5,A,446.4,1169.5,974.2,1667.9,67.5,89.5,A,92.3,84.7,91.1,89.7,10.5,A,7.7,15.3,8.9,10.3
17,211,Oil and gas extraction,0,Canada,1,Rural,2,Incorporated,2017,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,75,X,A,X,X,X,X,100,X,A,X,X,X,X,X,A,X,X,X,X
18,211,Oil and gas extraction,0,Canada,2,Urban,2,Incorporated,2017,86,5000,20000,5000,7028,7028,9847,9847,13000,13000,20000,10536.9,A,6032.9,8475.3,11493.8,16145.8,9150.3,B,5959.6,6548.8,10166.5,13926.3,93,1386.6,A,73.3,1926.5,1327.2,2219.5,86,86.8,B,98.8,77.3,88.5,86.3,13.2,A,1.2,22.7,11.5,13.7
19,212,Mining and quarrying (except oil and gas),0,Canada,1,Rural,2,Incorporated,2017,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,A,X,X,X,X,100,X,A,X,X,X,X,67.6,X,A,X,X,X,X,X,A,X,X,X,X
20,212,Mining and quarrying (except oil and gas),0,Canada,2,Urban,2,Incorporated,2017,71,5000,20000,5000,6948,6948,9399,9399,14000,14000,20000,10762.5,A,6064.7,8229.9,11704.6,17050.6,10292.3,A,5829.8,6794.8,11586.3,16958.3,97.2,470.1,B,234.9,1435,118.3,92.3,69,95.6,A,96.1,82.6,99,99.5,4.4,B,3.9,17.4,1,0.5
21,213,"Support activities for mining, and oil and gas extraction",0,Canada,1,Rural,2,Incorporated,2017,90,5000,20000,5000,6396,6396,7728,7728,10000,10000,20000,8878.1,A,5687.5,6997.7,8900,13927.2,8723.3,A,5679.5,6924.3,8444.5,13844.8,98.9,154.8,A,8,73.5,455.5,82.4,52.2,98.3,A,99.9,99,94.9,99.4,1.7,A,0.1,1,5.1,0.6
22,213,"Support activities for mining, and oil and gas extraction",0,Canada,2,Urban,2,Incorporated,2017,228,5000,20000,5000,6476,6476,8303,8303,13000,13000,20000,9786.5,A,5661.6,7285.7,10440.5,15758.1,8658.4,A,5002.9,6391.1,9634.5,13605.4,92.5,1128.1,A,658.7,894.7,806.1,2152.7,60.1,88.5,A,88.4,87.7,92.3,86.3,11.5,A,11.6,12.3,7.7,13.7
23,22,Utilities,0,Canada,1,Rural,2,Incorporated,2017,34,5000,20000,5000,5603,5603,7621,7621,11000,11000,20000,8889.3,A,5371.9,6769.2,9267.1,14149,8132,A,4361.4,6344.1,8090.4,13732,94.1,757.3,B,1010.5,425.1,1176.7,417,79.4,91.5,A,81.2,93.7,87.3,97.1,8.5,B,18.8,6.3,12.7,2.9
24,22,Utilities,0,Canada,2,Urban,2,Incorporated,2017,70,5000,20000,5000,6170,6170,8673,8673,14000,14000,20000,9957.1,A,5664.7,7279.5,10723.2,16161.1,9006.6,A,4939.1,6750.3,9744.9,14592.1,95.7,950.5,A,725.6,529.2,978.4,1568.9,71.4,90.5,A,87.2,92.7,90.9,90.3,9.5,A,12.8,7.3,9.1,9.7
