Geography,Location indicator - code,Location indicator,Reference year,Net Profit/Loss,unemployment_rate
Canada,1.0,Rural,2017,362.8,7.0
Canada,2.0,Urban,2017,605.9,6.3
Canada,1.0,Rural,2018,348.2,6.5
Canada,2.0,Urban,2018,675.5,5.8
Canada,1.0,Rural,2019,332.7,6.2
Canada,2.0,Urban,2019,674.3,5.7
